10,"SUDAMERICA","Per̼","","Liga 1 per̼","https://betplay.com.co/apuestas#sports-hub/football/peru/liga_1","https://www.betsson.co/apuestas-deportivas/futbol/peru/peru-liga-1?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-pe-sb_type_19340/matches","https://stake.com.co/es/deportes/football/peru/primera-division","https://apuestas.wplay.co/es/t/19340/Per%C3%BA-Primera-Divisi%C3%B3n","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/per%C3%BA-59/primera-divisi%C3%B3n-102732","https://www.betano.co/sport/futbol/peru/liga-1/17079/?bt=matchresult","https://www.rushbet.co/?page=sportsbook#filter/football/peru/liga_1","Per̼","","https://www.zamba.co/deportes/f%C3%BAtbol/per%C3%BA/liga-1/matches/60270.1","https://sports.yajuego.co/competition/soccer/peru/primeradivision/1-80-101613","","","https://bingocasinos.co/es/football/primeraadivisi&oacute	n-108-13"
11,"SUDAMERICA","Ecuador","","Liga Pro Ecuador","https://betplay.com.co/apuestas#sports-hub/football/ecuador/liga_pro","https://www.betsson.co/apuestas-deportivas/futbol/ecuador/ecuador-ligapro?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-ec-sb_type_19373","https://stake.com.co/es/deportes/football/ecuador/serie-a","https://apuestas.wplay.co/es/t/19373/Ecuador-Primera-A","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/ecuador-110/ligapro-primera-a-102171","https://www.betano.co/sport/futbol/ecuador/liga-pro-serie-a/17249/?bt=matchresult","https://www.rushbet.co/?page=sportsbook#filter/football/ecuador/liga_pro","","","","","","",""	
12,"SUDAMERICA","Chile","","Primera A Chile","https://betplay.com.co/apuestas#sports-hub/football/chile/primera_chile","https://www.betsson.co/apuestas-deportivas/futbol/chile/chile-liga-de-primera?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-cl-sb_type_19303","https://stake.com.co/es/deportes/football/chile/primera","https://apuestas.wplay.co/es/t/19303/Chile-Primera-Divisi%C3%B3n","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/chile-56/primera-divisi%C3%B3n-102158","https://www.betano.co/sport/futbol/chile/liga-de-primera/16932/?bt=matchresult","","Chile","Chile Primera Division","","https://sports.yajuego.co/competition/soccer/chile/primeradivision/1-323-101431","","","https://bingocasinos.co/es/football/primeraadivision-15-13"	
13,"SUDAMERICA","Bolivia","","Primera A Bolivia","https://betplay.com.co/apuestas#sports-hub/football/bolivia/liga_profesional_bolivia","https://www.betsson.co/apuestas-deportivas/futbol/bolivia/bolivia-primera-division?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-bo-1a234b2b-3f1d-41e6-87c6-ea311ab20cf0","https://stake.com.co/es/deportes/football/bolivia/liga-de-futbol-prof","https://apuestas.wplay.co/es/t/19786/Bolivia-Liga-de-F%C3%BAtbol-Profesional","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/bolivia-44/divisi%C3%B3n-profesional-102510","https://www.betano.co/sport/futbol/bolivia/division-profesional/18274/?bt=matchresult","https://www.rushbet.co/?page=sportsbook#filter/football/bolivia/liga_profesional_bolivia","","","","","","",""	
14,"SUDAMERICA","Uruguay","","Primera A Uruguay","https://betplay.com.co/apuestas#sports-hub/football/uruguay/campeonato_uruguayo","https://www.betsson.co/apuestas-deportivas/futbol/uruguay/uruguay-primera-division?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-uy-sb_type_19398","https://stake.com.co/es/deportes/football/uruguay/primera-division","https://apuestas.wplay.co/es/t/19398/Uruguay-Primera-Divisi%C3%B3n","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/uruguay-47/primera-divisi%C3%B3n-102231","","","Uruguay","","","","","",""	
15,"SUDAMERICA","Paraguay","ACTIVO","Primera A Paraguay","https://betplay.com.co/apuestas#sports-hub/football/paraguay/primera_paraguay","https://www.betsson.co/apuestas-deportivas/futbol/paraguay/paraguay-primera-division?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-py-sb_type_19359","https://stake.com.co/es/deportes/football/paraguay/primera","https://apuestas.wplay.co/es/t/19359/Paraguay-Primera-Divisi%C3%B3n","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/paraguay-48/primera-divisi%C3%B3n-apertura-102267","https://www.betano.co/sport/futbol/paraguay/primera-division/17078/","","","","https://www.zamba.co/deportes/f%C3%BAtbol/paraguay/divisi%C3%B3n-de-honor,-apertura/matches/63385.1","https://sports.yajuego.co/competition/soccer/paraguay/primeradivision/1-359-101337","https://www.rivalo.co/es/sportsbook/football?tournament=sr:tournament:27098","","https://bingocasinos.co/es/football/paraguayaprimeraadivision-242-13"	
16,"EUROPA A","Inglaterra","ACTIVO","Premier League Inglesa","https://betplay.com.co/apuestas#sports-hub/football/england/premier_league","https://www.betsson.co/apuestas-deportivas/futbol/inglaterra/inglaterra-premier-league-epl?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-en-sb_type_19157","https://stake.com.co/es/deportes/football/england/premier-league","https://apuestas.wplay.co/es/t/19157/Inglaterra-Premier-League","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/inglaterra-14/premier-league-102841","https://www.betano.co/sport/futbol/inglaterra/premier-league/1/?bt=matchresult","https://www.rushbet.co/?page=sportsbook#filter/football/england/premier_league","Inglaterra","Premier League","https://www.zamba.co/deportes/futbol/inglaterra/liga-premier","https://sports.yajuego.co/competition/soccer/england/premierleague/1-61-101226","https://www.rivalo.co/es/sportsbook/football?tournament=sr:tournament:17","https://www.luckia.co/apuestas/futbol/inglaterra-premier-league/3032/?date=sve","https://bingocasinos.co/es/football/england+premier+league"	
17,"EUROPA A","Inglaterra","ACTIVO","Championship Inglesa","https://betplay.com.co/apuestas#sports-hub/football/england/the_championship","https://www.betsson.co/apuestas-deportivas/futbol/inglaterra/inglaterra-efl-championship?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-en-sb_type_19156/matches","https://stake.com.co/es/deportes/football/england/championship","https://apuestas.wplay.co/es/t/19156/Inglaterra-Championship","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/inglaterra-14/championship-102839","https://www.betano.co/sport/futbol/inglaterra/championship/2/?bt=matchresult","https://www.rushbet.co/?page=sportsbook#filter/football/england/the_championship","Inglaterra","Championship","https://www.zamba.co/deportes/f%C3%BAtbol/inglaterra/campeonato/matches/60359.1","https://sports.yajuego.co/competition/soccer/england/championship/1-61-101227","https://www.rivalo.co/es/sportsbook/football?tournament=sr:tournament:18","https://www.luckia.co/apuestas/futbol/inglaterra-championship/2998/?date=sve","https://bingocasinos.co/es/football/theachampionship-96-13"	
18,"EUROPA A","Inglaterra","ACTIVO","FA CUP Inglesa","https://betplay.com.co/apuestas#sports-hub/football/england/fa_cup","https://www.betsson.co/apuestas-deportivas/futbol/inglaterra/inglaterra-fa-cup?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-en-sb_type_19207/matches","https://stake.com.co/es/deportes/football/england/fa-cup","https://apuestas.wplay.co/es/t/19207/Inglaterra-FA-Cup","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/inglaterra-14/fa-cup-102802","https://www.betano.co/sport/futbol/inglaterra/copa-de-la-fa/218/?bt=matchresult","https://www.rushbet.co/?page=sportsbook#filter/football/england/fa_cup","Inglaterra","FA Cup","","https://sports.yajuego.co/popularCoupons/0/copafa/2361","https://www.rivalo.co/es/sportsbook/football?tournament=sr:tournament:19","https://www.luckia.co/apuestas/futbol/inglaterra-copa-fa/3013/?date=sve","https://bingocasinos.co/es/football/englandafaacup-96-13"	
19,"EUROPA A","Italia","ACTIVO","Serie A Italiana","https://betplay.com.co/apuestas#sports-hub/football/italy/serie_a","https://www.betsson.co/apuestas-deportivas/futbol/italia/italia-serie-a?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-it-sb_type_19159/matches","https://stake.com.co/es/deportes/football/italy/serie-a","https://apuestas.wplay.co/es/t/19159/Serie-A","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/italia-20/serie-a-102846","https://www.betano.co/sport/futbol/italia/serie-a/1635/?bt=matchresult","https://www.rushbet.co/?page=sportsbook#filter/football/italy/serie_a","Italia","Serie A","https://www.zamba.co/deportes/futbol/italia/serie-a","https://sports.yajuego.co/popularCoupons/0/seriea/791","https://www.rivalo.co/es/sportsbook/football?tournament=sr:tournament:23","https://www.luckia.co/apuestas/futbol/italia-serie-a/3047/?date=sve","https://bingocasinos.co/es/football/serie+a+tim"	
